SBCode,Production Id,Trigger approved,Initial Approved,Billing Budget History,Cost Budget History,Budget Approval Status,Project End Date
SB21528,9918,TRUE,TRUE,4417437,4248350,Modified Budget Approved,30/06/2024
SB21697,9919,TRUE,TRUE,1330560,1259600,Modified Budget Approved,29/01/2025
SB21700,9920,TRUE,TRUE,401218.4,278646,Modified Budget Approved,27/06/2024
SB21703,9921,TRUE,TRUE,3109238,2130780,Modified Budget Approved,30/08/2024
SB21704,9922,TRUE,TRUE,415514,377740,Modified Budget Approved,29/11/2024
SB21733,9923,TRUE,TRUE,162635,119886,Modified Budget Approved,11/07/2024
SB21770,9924,TRUE,TRUE,2413600,1859893.54,Modified Budget Approved,19/07/2024
SB21797,9925,TRUE,TRUE,489783,209322,Modified Budget Approved,10/08/2024
SB21800,9926,TRUE,TRUE,1933840,527400,Modified Budget Approved,30/11/2024
SB21804,9927,TRUE,TRUE,11400000,10581100,Modified Budget Approved,25/09/2024
SB21807,9928,TRUE,TRUE,26857088,20685300,Modified Budget Approved,22/10/2024
SB21814,9929,TRUE,TRUE,409750,98000,Modified Budget Approved,15/11/2024
SB21829,9930,TRUE,TRUE,2527500,927101,Modified Budget Approved,30/09/2024
SB21847,9931,TRUE,TRUE,67831,42000,Modified Budget Approved,08/08/2024
SB21859,9932,TRUE,TRUE,585824523.6,295902800,Modified Budget Approved,25/10/2024
SB21861,9933,TRUE,TRUE,43169821,31242614,Modified Budget Approved,06/12/2024
SB21873,9934,TRUE,TRUE,6594170,2196300,Modified Budget Approved,19/09/2024
SB21888,9935,TRUE,TRUE,5035200,4799600,Modified Budget Approved,01/11/2024
SB21911,9936,TRUE,TRUE,6002832,4430000,Modified Budget Approved,25/12/2024
SB21911,9936,TRUE,TRUE,6002832,4430000,Modified Budget Approved,25/12/2024
SB21914,9937,TRUE,TRUE,263375,188035,Modified Budget Approved,06/09/2024
SB21917,9938,TRUE,TRUE,3174924.93,3147200,Modified Budget Approved,30/11/2024
SB21920,9939,TRUE,TRUE,415000,6500,Modified Budget Approved,30/11/2024
SB21930,9940,TRUE,TRUE,180070,105735,Modified Budget Approved,13/09/2024
SB21931,9941,TRUE,TRUE,1785916,1339437,Modified Budget Approved,30/11/2024
SB21935,9942,TRUE,TRUE,2785110.4,1875000,Modified Budget Approved,30/11/2024
SB21939,9943,TRUE,TRUE,123389.25,112173,Modified Budget Approved,30/11/2024
SB21940,9944,TRUE,TRUE,5718840,4084570,Modified Budget Approved,25/10/2024
SB21944,9945,TRUE,TRUE,1712265.28,1392963,Modified Budget Approved,15/09/2024
SB21945,9946,TRUE,TRUE,2831064.16,1573677.5,Modified Budget Approved,18/09/2024
SB21947,9947,TRUE,TRUE,566389,412127,Modified Budget Approved,20/09/2024
SB21954,9948,TRUE,TRUE,2483937,1045620,Modified Budget Approved,18/11/2024
SB21960,9949,TRUE,TRUE,7890000,5214706.35,Modified Budget Approved,07/12/2024
SB21961,9950,TRUE,TRUE,335680,112800,Modified Budget Approved,30/11/2024
SB21975,9951,TRUE,TRUE,766283.95,318800,Modified Budget Approved,25/11/2024
SB21981,9952,TRUE,TRUE,850000,788736,Modified Budget Approved,27/09/2024
SB21982,9953,TRUE,TRUE,25313041,21186974,Modified Budget Approved,03/10/2024
SB21983,9954,TRUE,TRUE,27520,24200,Modified Budget Approved,24/09/2024
SB21984,9955,TRUE,TRUE,733428,195500,Modified Budget Approved,20/09/2024
SB21985,9956,TRUE,TRUE,150000,147200,Modified Budget Approved,27/09/2024
SB21986,9957,TRUE,TRUE,269236,220580,Modified Budget Approved,25/09/2025
SB21987,9958,TRUE,TRUE,31390,27800,Modified Budget Approved,22/09/2024
SB21988,9959,TRUE,TRUE,819005,604285,Modified Budget Approved,25/09/2024
SB21989,9960,TRUE,TRUE,1240477.66,351100,Modified Budget Approved,26/09/2024
SB21990,9961,TRUE,TRUE,4963500,4726000,Modified Budget Approved,07/11/2024
SB21991,9962,TRUE,TRUE,9930859.96,4748000,Modified Budget Approved,28/11/2024
SB21993,9963,TRUE,TRUE,1040380,243700,Modified Budget Approved,24/09/2024
SB21995,9964,TRUE,TRUE,3034350,1807600,Modified Budget Approved,09/10/2024
SB21996,9965,TRUE,TRUE,402500,255345,Modified Budget Approved,29/09/2024
SB21997,9966,TRUE,TRUE,300840,213700,Modified Budget Approved,28/09/2024
SB21998,9967,TRUE,TRUE,3991461.24,1190729,Modified Budget Approved,03/10/2024
SB21999,9968,TRUE,TRUE,4766447,3035690,Modified Budget Approved,29/09/2024
SB22000,9969,TRUE,TRUE,53120,39300,Modified Budget Approved,25/09/2024
SB22001,9970,TRUE,TRUE,825000,365306,Modified Budget Approved,18/10/2024
SB22002,9971,TRUE,TRUE,2245584,1668400,Modified Budget Approved,15/10/2024
SB22003,9972,TRUE,TRUE,304464,261800,Modified Budget Approved,27/09/2024
SB22004,9973,TRUE,TRUE,181887.5,88730,Modified Budget Approved,27/09/2024
SB22005,9974,TRUE,TRUE,3302404,2652800,Modified Budget Approved,01/10/2024
SB22007,9975,TRUE,TRUE,72600,30091,Modified Budget Approved,27/09/2024
SB22008,9976,TRUE,TRUE,1570800,1200000,Modified Budget Approved,29/09/2024
SB22009,9977,TRUE,TRUE,332200,121265,Modified Budget Approved,27/09/2024
SB22010,9978,TRUE,TRUE,3465250,2856100,Modified Budget Approved,24/10/2024
SB22011,9979,TRUE,TRUE,31325,23493.75,Modified Budget Approved,06/10/2024
SB22012,9980,TRUE,TRUE,876090.86,640754.61,Modified Budget Approved,04/10/2024
SB22013,9981,TRUE,TRUE,1528120,928940,Modified Budget Approved,01/10/2024
