Project Code,InternalId,Customer Name,Billing Budget,Costing Budget
SB22161,10126,Hul - Lakme X Myntra,717800,717800
SB21911,9936,IKEA - Festive Lighting 2024,4000000,4000000
SB21528,9918,BFSI Techtalks Mumbai,4417437,4008442.82
SB21697,9919,Castrol India Stall - IMTEX (Tool Tech),1330560,1259600
SB21700,9920,Amazon SPS,401218.4,278646
SB21703,9921,BFSI VCF Workshops,3109238,1723662.63
SB21704,9922,Castrol India TUBE India Expo November,415514,377740
SB21733,9923,Amazon ring devices event,162635,111886
SB21770,9924,Mangalam Leasing Channel Partners Meet,2413600,1855318.54
SB21797,9925, Intel stall at Data Hack Summit 2024 at Nimhans,489783,209322
SB21800,9926,Towards Tanzu Activities,1933840,996519
SB21804,9927,Dell CSG event,11400000,9594290.8
SB21807,9928,Red Hat Summit Connect,24389088,20299475.04
SB21814,9929,Booth Participation @Gartner Symposium 2024,409750,96922.5
SB21829,9930,Adobe Day @ Corporates,2527500,757425
SB21847,9931,Siemens Ahmedabad Townhall event ,67831,19749
SB21859,9932,NVIDIA - AI Summit at  23rd to 25th Oct 2024,344008695.7,285906313.2
SB21861,9933,HPE Discover More AI,43169821,30543695.48
SB21873,9934," INGKA - Mapic Stall 2024 at Jio,",3297085,2158341.6
SB21888,9935,Hitachi Gartner Symposium 2024.,5035200,4409926
SB21911,9936,IKEA - Festive Lighting 2024,6002832,4416323
SB21914,9937,Amazon Ace Awards,263375,188035
SB21917,9938,Towards VSP One pipeline acceleration campaign,3174924.93,2754926
SB21920,9939,Sustainability Campaign,415000,6500
SB21930,9940,Cognizant - CIO 100 SYMPOSIUM & AWARDS,180070,105729
SB21935,9942,Siemens Mobility Tactical Table,2397035.4,1875000
SB21939,9943,Towards Booth set up at DevOpsDays Kerela 2024.,123389.25,112172.72
SB21940,9944,HPE Booth at NVIDIA AI Summit at JIO convention Centre Mumbai,5718840,4662115.37
SB21944,9945,Amazon SPS,1712265.28,1392963
SB21945,9946,Lenovo R&D Lab Innaugration,2246564.16,1574569.5
