ProjectID,InternalId,Project Name,Billing Budget,Costing Budget
SB21942,9926,Regency AV Production,995500,450000
SB22441,9144,SAP Booth at NTLF 2025,181060,135795
SB22442,9145,IKEA - RAI Stall,553875,415406.25
SB22443,9146,THOUGHTWORKS BOOTH at the NASSCOM event,231000,173250
SB22444,9599,CIO Netskope_CIOKlub event,498978,374233.5
SB22445,9359,Tvs RRC & MMC SOUTH,37856,28392
SB22446,9147,Cognizant MACY'S Client Visit,1460800,1095600
SB22447,9148,Neo4J Swags with arrangements,23920,17940
SB22448,9149,Adobe Make it,928816,696612
SB22449,9150,Siemens Digital Kiosk ,399072,299304
SB22450,9339,SAP Build Day,75038,56278.5
SB22451,9151,Phonepe Converge,794847,596135.25
SB22452,9706,INPG Pinnacle R&R,1683242,1262431.5
SB22453,9152,Indoor Showroom Inauguration,326469,244851.75
SB22454,9153,Amazon - LML,349299,261974.25
SB22456,9155,DBS Bank - DBS Technology Roadshow,440000,330000
SB22457,9156,Cognizant Gurgaon Client Visit,14726,11044.5
SB22458,9157,DBS CEO Give Away,234230,175672.5
SB22460,9158,HMI Townhall Event 2025,872600,654450
SB22461,9159,Holi 2025 : Pan India Celebration,14685862,11014396.5
SB22462,9160,Siemens DEI Tree Making,130048,97536
SB22463,9161,Cognizant NLG Client Visit,104467,78350.25
SB22464,9162,Natwest Nicola Town Hall Meet ,396201,297150.75
SB22465,9163,HUL CEO Review ,10000000,7500000
SB22466,9600,Shella Kurlon Business Meet,720500,540375
SB22467,9164,Cognizant EDJ Client visit.,145000,108750
SB22468,9165,Cognizant Nation Wide.,250000,187500
SB22469,9166,Cognizant RBC Client Visit 2025,3288648,2466486
SB22470,9167,Novo Nordisk Townhall,818918,614188.5
SB22471,9601,BIAL Partner Connect 6.0,4610589,3457941.75
SB22472,10202,Wella Trendvision,12193500,9145125
SB22474,10204,HPCL Women's Day celebration ,745412,559059
SB22475,9168,Hero International Women's Day,9039371,6779528.25
SB22476,10205,Ducati Panigale V4 Launch,1657975,1243481.25
SB22477,9340,Google YT Shopping X Tech,4100036,3075027
SB22478,9169,Signify Plaque and Certificates,222880,167160
SB22479,9341,"Brookfield IPC Event,",3554369,2665776.75
SB22480,9170,DBS Piyush Gupta Farewell Photographer,8800,6600
SB22481,9929,Eicher Womens Day activation,94656,70992
SB22482,9930,Eurogrip RRC Activity FEB 2025,15499,11624.25
SB22483,9931,Hero Xoom Media Drive,2475151,1856363.25
SB22484,9932,DBS T&O Townhall,385550,289162.5
SB22485,10206,Jamf CIO Summit event,1236571,927428.25
SB22486,9933,Siemens Townhall,225881,169410.75
SB22487,9934,Amazon Holi Event,309188,231891
SB22488,9935,NetApp_CrossGen_RIL_Kochi_eventCustomer Event,339093,254319.75
SB22489,9936,Amazon OTS Townhall Meeting.,34496,25872
SB22490,9937,DBS Sun board Printings,15510,11632.5
SB22491,9938,Hul  Magnum x LFW,3769198,2826898.5
SB22492,9939,DBS Badminton Players  Meet & Greet,1000010,750007.5
SB22493,9940,DBS Virtual Photobooth,18150,13612.5
SB22494,9941,Siemens GBS Townhall ,518818,389113.5
SB22495,9942,HUL SC Conference 2025,11723444,8792583
SB22496,9943,HUL MacBook Purchas,253237,189927.75
SB22497,9944,Hul JBP Meet 2025,246100,184575
SB22498,9945,OnePlus SFS pop-up,355246,266434.5
SB22499,9946,OnePlus Jamnight @ IIT DTU,335929,251946.75
SB22500,9947,Tata Motors Stealth Mall Activation,10882960,8162220
SB22501,9948,Siemens MO Townhall,665782,499336.5
SB22502,9949,Siemens Elevate at Siemens Office ,2070754,1553065.5
SB22503,9950,HUL North Branch Meet 2025,1679396,1259547
SB22504,9951,Amazon - AA Leadership Connect ,143693,107769.75
SB22505,9952,Jio with arrangements,224000,168000
SB22506,9953,DBS India Townhall Q1 2025,245000,183750
SB22507,9954,Intel Premium standee delivered,150150,112612.5
SB22508,9955,Intel AIPC Workshop,293370,220027.5
SB22509,10207,Aircraft launch,94662,70996.5
SB22510,9956,Siemens Townhall,283345,212508.75
SB22511,9957,Accenture  Interns Welcome Networking Dinner,1230768,923076
SB22512,9958,Nvidia 2025,5000000,3750000
SB22513,9959,VCF Experience Days and VMUG,1480113.6,1110085.2
SB22514,9960,Accenture RSA Super Star Awards,117665,88248.75
SB22515,9961,Acrylic Name Badge Pune Visit,9350,7012.5
SB22516,9962,Accenture IHG Client Visit,176412.5,132309.375
SB22517,9963,Hitachi CIO Klub Chennai chapter event,1200000,900000
SB22518,9964,TATA debossed diaries & pens,17248,12936
SB22519,9965,TATA debossed Logo Installation,111440,83580
SB22520,9966,Towards Workshop - Delhi,197144,147858
SB22521,9967,Hul Indulekha - Good Hair Day,350000,262500
SB22522,10208,Maruti Flatbed Requirement,495845,371883.75
SB22523,9968,RNTBCI Cohort 2 Start Up Pitch awards,186450,139837.5
SB22524,9969,Amazon - eCF Leadership 2025 ,125818,94363.5
SB22525,9970,GlaxoSmithKline Certificates & Trophies,27830,20872.5
SB22526,9971,Accenture International Women's Day 2025,134992,101244
SB22527,9972,GitHub connect - Razorpay in Bangalore,284211,213158.25
SB22528,9973,Microsoft townhall,392265,294198.75
SB22529,9974,Cognizant Allianz Client Visit ,570251,427688.25
SB22530,10209,Photographer requirement for Sonata Software - Meet ,6000,4500
SB22531,10210,TVS VEHICLE MOBILITY Sign Board,11000,8250
SB22532,9975,Natwest Logistics Town Hall Meet ,337700,253275
SB22533,9976,Amazon trifold Posters,32450,24337.5
SB22534,9977,Cognizant US Bank Client Visit,169477,127107.75
SB22535,9978,Cognizant US Bank Client Visit,190960,143220
SB22536,9979,Citi Bank - Photographer,11000,8250
SB22537,9980, Siemens Dahod Ministry Visit,433026,324769.5
SB22538,9981,Mahindra GSO Offsite Decor,63910,47932.5
SB22539,9982,Amway Doug DeVos India Leadership Summit,5000000,3750000
SB22540,9983,SAP NOW 2025,23878565,17908923.75
SB22541,9984,Networking Event @ IPL Chinnaswamy Stadium,2001000,1500750
SB22542,9985,Confluent Booklet Printing,120750,90562.5
SB22543,9986,BROOKFIELD POWAI - CUSTOMER EXPERIENCE JOURNEY,1448283,1086212.25
SB22544,9987,Intel GPTW activities,35962,26971.5
SB22545,9988,Hitachi SKO 25,3500020,2625015
SB22546,9989,Cognizant Computershare Client Visit,571307,428480.25
SB22547,9990,Amazon Booth - Soul Sante,73590,55192.5
SB22548,9991,LSIP - Pickleball Tournament,581460,436095
SB22549,9992,Siemens CEO Townhall Event,286859,215144.25
SB22550,9993,Metro Cash & Carry - Annual Meet,2117334,1588000.5
SB22551,9994,OnePlus pop-up,699894,524920.5
SB22552,9995,Hul  Grat Fest 2025,1864118,1398088.5
SB22553,9996,Siemens SRE Townhall,399644,299733
