ProjectID,InternalId,Project Name,Billing Budget,Costing Budget
SB21386,11423,Accenture  FE Utsava - Carnival Artists,400000,0
SB21718,11424,Google YouTube Creator Collective Q3 2024,49063401,17667663
SB21768,11425,HUL Finomenals 2024,2550462,1045400
SB21825,11426,Audi 100 K Milestone Celebration Event,29512410,18212320
SB21931,9941,IKEA - Influencer Activity ,1785916,1339437
SB21992,11623,Meeting Expenses,1000000,0
SB22011,9979,Siemens Healthineers_Pen branding,31325,23493.75
SB22071,10036,Accenture Sanjay Dawar's Farewell,372075,279056.25
SB22116,10081,Red Hat-TCS lending as a service event,822437,616827.75
SB22598,11427,KNMA WithIn by Aditi Mangaldas,1150000,862500
SB22610,11428,Amazon Whiteboard Animation video project,71500,53625
SB22611,11626,Bumblebee Fun Activities,381205,285903.75
SB22612,11429,Greenlam GT Launch,2099625,1574718.75
SB22613,11430,VinFast Digital Promotions,6873000,5154750
SB22614,11431,Tally Mahasabha 2025,5079584,3809688
SB22615,11432,Kia Clavis Hybrid ,23940532,17955399
SB22616,11433, HDFC Bank Tech Workshop HYD,617954,463465.5
SB22617,11434,Cognizant NW visit ,205700,154275
SB22618,11435,Hyundai Global Service Seminar 2025,3522570,2641927.5
SB22619,11436,Siemens - HR Offiste 2025,839248,629436
SB22620,11437,Palo Cybersecurity Leadership Summitt ,15498045,11623533.75
SB22621,11627,Towards T-shirts with branding - Partner Kick Off,198375,148781.25
SB22622,11438,Townhall at Microsoft,437265,327948.75
SB22623,11439,HPE Zerto Enablement ,1719960,1289970
SB22624,11440,Phone Pe - Converge,703084,527313
SB22625,11441,GBS Finance Offsite ,30800,23100
SB22626,11442,Adobe Elite Circle,1800000,1350000
SB22627,11443,Natwest Nasscom GCC Summit 2025,361880,271410
SB22628,11444,Red ABM Account Day,822404,616803
SB22629,11445,STT Advantage Employee offsite,11232890,8424667.5
SB22630,11446,Adobe Partner Summit hotel ,1500000,1125000
SB22631,11447,Red Hat BFSI Summit ,4847633,3635724.75
SB22632,11448,"Accenture stall @ NASSCOM GCC Summit,",553080,414810
SB22633,11449,Cognizant - Client Visit,25300,18975
SB22634,11450,Red Hat Immersion Day - Mumbai | Q2,870929,653196.75
SB22635,11451,Amazon BOX Installation,163200,122400
SB22636,11452,Walmart Townhall,535700,401775
SB22637,11453,Natwest Ruchika Town Hall Meet,349765,262323.75
SB22638,11454,Red Hat F & B,46575,34931.25
SB22639,11455,BROOKFIELD DC VS RCB IPL,440000,330000
SB22640,11456,YTCC X-Waves,12600000,9450000
SB22641,11457,Siemens GBS SSON Visit,115000,86250
SB22642,11458,Amazon Townhall event,80014,60010.5
SB22643,11459,AI@Walmart,1784284,1338213
SB22644,11460,Intel - Webinr Series for Audience Acquasition,861000,645750
SB22645,11461,"Hul Shiva's Farewell Event,",1783762,1337821.5
SB22646,11462,Hero Farwell event,1146015,859511.25
SB22647,11624,Indo IFCCI Seminar. ,97440,73080
SB22648,11463,Mahindra Press & Analyst Meet,792000,594000
SB22649,11464,Cognizant Zumba activity,100100,75075
SB22650,11465,Kotak Townhall with CEO,1478362,1108771.5
SB22651,11466,Amazon IN Finance Career Day 2025,437059,327794.25
SB22652,11467,Amazon collateral design and print,10010,7507.5
SB22653,11468,SS Plate _SEIL Name Plates,376776,282582
SB22654,11469,Amazon Transcend Graduation,209293,156969.75
SB22655,11470,Red ACE Program - Aditya Birla Group,823500,617625
SB22656,11471,OnePlus Masterclass,725537,544152.75
SB22657,11472,Google YT Shopping Lifestyle edition ,8200000,6150000
SB22658,11473,Red Hat Immersion Day,453325,339993.75
SB22659,11474,Amazon Day One at Work,178178,133633.5
SB22660,11475,HUL iSight App Showcase,141052,105789
SB22661,11476,Takasago Food solution centre Inauguration,526900,395175
SB22662,11477,Tata Fleet Management at Waves,4041600,3031200
SB22663,11482,Siemens Canteen Inauguration Event,270874.93,203156.1975
SB22664,11478,Amway BBS Multicity events ,4000000,3000000
SB22665,11479,CIO KERALA CHAPTER,511803,383852.25
SB22666,11480,HPE Aruba CXO Meet,1947000,1460250
SB22667,11625,40th Year Anniversary,148005,111003.75
SB22668,11481,Brookprop WATERSTONES,1690063,1267547.25
