SBCode,Production Id,Customer Name,Billing Budget History,Cost Budget History
SB21528,9918,10174  Red Hat India Pvt Ltd,4417437,4248350
SB21697,9919,10216  Castrol India Ltd,1330560,1259600
SB21700,9920,10381  Amazon Development Centre (India) Pvt Ltd,401218.4,278646
SB21703,9921,10374  Vmware Software India Pvt Ltd,3109238,2130780
SB21704,9922,10216  Castrol India Ltd,415514,377740
SB21733,9923,10642  Amazon Seller Services India Pvt Ltd,162635,119886
SB21770,9924,10508  Manglam Multiplex Pvt Ltd,2413600,1859893.54
SB21797,9925,10588  Intel Technology India Pvt Ltd,489783,209322
SB21800,9926,10374  Vmware Software India Pvt Ltd,1933840,527400
SB21804,9927,10629  The Indian Express Pvt Ltd,11400000,10581100
SB21807,9928,10174  Red Hat India Pvt Ltd,26857088,20685300
SB21814,9929,10374  Vmware Software India Pvt Ltd,409750,98000
SB21829,9930,10467  Adobe Systems India Pvt Ltd,2527500,927101
SB21847,9931,10181  Siemens Ltd,67831,"42,000.00"
SB21859,9932,10431  Nvidia Graphics Pvt Ltd,585824523.6,295902800
SB21861,9933,10669  Hewlett Packard Enterprise India Pvt Ltd,"4,31,69,821.00","3,12,42,614.00"
SB21873,9934,10031 Ingka Services LLP,6594170,2196300
SB21888,9935,10583  Hitachi Vantara India Pvt Ltd,5035200,4799600
SB21911,9936,10324  IKEA India Pvt Ltd,6002832,4430000
SB21911,9936,10324  IKEA India Pvt Ltd,6002832,4430000
SB21914,9937,10381  Amazon Development Centre (India) Pvt Ltd,263375,188035
SB21917,9938,10583  Hitachi Vantara India Pvt Ltd,3174924.93,3147200
SB21920,9939,10583  Hitachi Vantara India Pvt Ltd,415000,6500
SB21930,9940,10306  Cognizant Technology Solutions India Pvt Ltd,180070,"1,05,735.00"
SB21931,9941,10324  IKEA India Pvt Ltd,1785916,1339437
SB21935,9942,10181  Siemens Ltd,2785110.4,1875000
SB21939,9943,10174  Red Hat India Pvt Ltd,123389.25,112173
SB21940,9944,10669  Hewlett Packard Enterprise India Pvt Ltd,5718840,4084570
SB21944,9945,10642  Amazon Seller Services India Pvt Ltd,1712265.28,1392963
SB21945,9946,10505  Lenovo Global Technology (India) Pvt Ltd,2831064.16,1573677.5
SB21947,9947,10261  Redington Ltd,566389,412127
SB21954,9948,10664  GitHub India Pvt Ltd,2483937,1045620
SB21960,9949,10608  Paul Writer Strategic Services Pvt Ltd,7890000,5214706.35
SB21961,9950,10583  Hitachi Vantara India Pvt Ltd,335680,112800
SB21975,9951,10181  Siemens Ltd,766283.95,318800
SB21981,9952,10467  Adobe Systems India Pvt Ltd,850000,788736
SB21982,9953,10587  Innocean Worldwide Communication Pvt Ltd,25313041,21186974
SB21983,9954,10196  Tvs Srichakra Ltd,"27,520.00","24,200.00"
SB21984,9955,10249  NatWest Digital Services India Pvt Ltd (RBS Services India Pvt Ltd),"7,33,428.00","1,95,500.00"
SB21985,9956,10494  Havas Media India Pvt Ltd,150000,147200
SB21986,9957,10306  Cognizant Technology Solutions India Pvt Ltd,269236,220580
SB21987,9958,10196  Tvs Srichakra Ltd,"31,390.00","27,800.00"
SB21988,9959,10306  Cognizant Technology Solutions India Pvt Ltd,819005,604285
SB21989,9960,10560  BP Business Solutions India Pvt Ltd,1240477.66,351100
SB21990,9961,10588  Intel Technology India Pvt Ltd,4963500,4726000
SB21991,9962,10588  Intel Technology India Pvt Ltd,9930859.96,4748000
SB21993,9963,10389  Brookprop Property Management Services Pvt Ltd,1040380,243700
SB21995,9964,10324  IKEA India Pvt Ltd,3034350,1807600
SB21996,9965,10714  Tech Data Advanced Solutions India Pvt Ltd,402500,255345
SB21997,9966,10261  Redington Ltd,300840,213700
SB21998,9967,10604  Novo Nordisk Service Centre (India) Pvt Ltd,3991461.24,1190729
SB21999,9968,10603  Nikon India Pvt Ltd,4766447,3035690
SB22000,9969,10575  Floydwiz Technologies Pvt Ltd,"53,120.00","39,300.00"
SB22001,9970,10588  Intel Technology India Pvt Ltd,825000,365306
SB22002,9971,10324  IKEA India Pvt Ltd,2245584,1668400
SB22003,9972,10181  Siemens Ltd,304464,261800
SB22004,9973,10714  Tech Data Advanced Solutions India Pvt Ltd,181887.5,"88,730.00"
SB22005,9974,10703  Schneider Electric India Pvt Ltd,3302404,2652800
SB22007,9975,10243  LinkedIn Technology Information Pvt Ltd,"72,600.00","30,091.00"
SB22008,9976,10642  Amazon Seller Services India Pvt Ltd,1570800,1200000
SB22009,9977,10262  Renault Nissan Technology & Business Centre India Pvt Ltd,332200,121265
SB22010,9978,10547  Veeva Software Systems India Pvt Ltd,3465250,2856100
SB22011,9979,10181  Siemens Ltd,31325,23493.75
SB22012,9980,10357  Sify Technologies Ltd,876090.86,640754.61
SB22013,9981,10642  Amazon Seller Services India Pvt Ltd,1528120,928940
SB22015,9982,10181  Siemens Ltd,626789,359700
SB22016,9983,10412  Hindustan Unilever Ltd,774974,590500
SB22017,9984,10412  Hindustan Unilever Ltd,693500,350700
SB22018,9985,10057 Now Comms Asia,112725,"84,543.75"
SB22019,9986,10583  Hitachi Vantara India Pvt Ltd,2490000,952500
SB22020,9987,10333  Mahindra & Mahindra Ltd,"71,500.00","24,000.00"
SB22021,9988,10656  Danfoss Industries Pvt Ltd,511164,403600
SB22022,9989,10196  Tvs Srichakra Ltd,"10,750.00","10,000.00"
SB22023,9990,10198  Vista Consoles Electronics Pvt Ltd,2297922,1638050
SB22024,9991,10642  Amazon Seller Services India Pvt Ltd,"30,536.00","16,268.00"
SB22025,9992,10181  Siemens Ltd,471436.95,386900
SB22026,9993,10181  Siemens Ltd,5473654.5,3116850
SB22027,9994,10412  Hindustan Unilever Ltd,1596210,1410800
SB22028,9995,10046 Lightspeed India Partners Advisors LLP,6622288,2485100
SB22029,9996,10306  Cognizant Technology Solutions India Pvt Ltd,411290,313140
SB22030,9997,10306  Cognizant Technology Solutions India Pvt Ltd,5022828.8,2040640
