Internal ID,Name,Start Date,Projected End Date,Closure Date
10299,BFL test Customer : 89,15-04-2025,16-04-2025,15/07/2025
10300,10020 Accenture Solutions Pvt Ltd : 90 Test Sales Invoice 150425,15-04-2025,20-05-2025,18/08/2025
10301,91 Test Project - AGS,16-04-2025,30-04-2025,29/07/2025
10302,92 Test Ashish,18-04-2025,30-04-2025,29/07/2025
10306,Test Customer 001 - Shobiz : 93 Test Budget Project 011,22-04-2025,30-09-2025,29/12/2025
10308,"10020 Accenture Solutions Pvt Ltd : 94 Accenture stall @ NASSCOM GCC Summit,",23-04-2025,28-05-2025,26/08/2025
10412,BFL test Customer : 95 INtercompany test project,23-04-2025,30-04-2025,29/07/2025
10415,10057 Cognizant Technology Solutions India Pvt Ltd : 96 Cognizant Zumba activity,24-04-2025,29-05-2025,27/08/2025
10097,10020 Accenture Solutions Pvt Ltd : ACC 120425,12-04-2025,15-04-2025,14/07/2025
9789,BFL test Customer : BFL Test Project - Kajal,09-04-2025,30-04-2025,29/07/2025
8746,10103 IKEA India Pvt Ltd : SB 21911 IKEA - Festive Lighting 2024,25-12-2024,25-12-2024,25/03/2025
9695,10679 3One4 Capital Mangement LLP : SB 22173 3One4 Capital CUSTOMERS MEET,20-11-2024,20-11-2024,18/02/2025
6437,Test Customer 001 - Shobiz : SB1,02-01-2025,08-01-2025,08/04/2025
6438,Test Customer 001 - Shobiz : SB2,02-01-2025,22-01-2025,22/04/2025
6439,10100 Hindustan Unilever Ltd : SB3 Christmas Decor - Multiple Sites,05-01-2025,10-01-2025,10/04/2025
6440,10618 Hindustan Unilever Limited : SB4 Testing Project 009,03-01-2025,15-01-2025,15/04/2025
6485,Test Customer 001 - Shobiz : SB6,03-01-2025,08-01-2025,08/04/2025
6487,Test Customer 001 - Shobiz : SB8,06-01-2025,16-01-2025,16/04/2025
6595,Test Customer 001 - Shobiz : SB11 Test Project,07-01-2025,01-05-2025,30/07/2025
6597,Test Customer 001 - Shobiz : SB12 test project 0079,07-01-2025,28-05-2025,26/08/2025
6598,SB13 Project 001 - Project Manager,07-01-2025,31-01-2025,01/05/2025
6700,10093 HDFC Securities Ltd : SB14,08-01-2025,07-01-2026,07/04/2026
6902,10196 Shree Naman Hotels Pvt Ltd : SB16 ZQ Project 002,09-01-2025,10-01-2025,10/04/2025
6903,10020 Accenture Solutions Pvt Ltd : SB17 FR Project,09-01-2025,09-02-2025,10/05/2025
7009,10618 Hindustan Unilever Limited : SB20 Final Testing ZQ,14-01-2025,15-01-2025,15/04/2025
7010,10020 Accenture Solutions Pvt Ltd : SB21 AS Project GL,14-01-2025,14-02-2025,15/05/2025
7013,Test Customer 001 - Shobiz : SB22 KBC Test Project 001,15-01-2025,31-05-2025,29/08/2025
