External ID,Created by,Order By,Purchase Order Date,Particulars,Vendor,Vendor,Type of Expense,Nature of Document,Place of Supply,Subsidiary,Terms,Approval status,Branch,Line of business,Division,Department,Currency,Ship to,Item,Rate,Quantity,Amount,Project,HSN or SAC code,India Tax Nature,Nexus,Nexus Override ,Vendor Tax Reg number,Subsidiary tax reg number,Vendor Select
C/2025/PO/000001,,,01-01-2025,Elsie Mathew-Che,ElsieMathew,#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
C/2025/PO/000002,,,01-01-2025,Race View Tower Association-Che,RaceViewTowerAssociation,#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
C/2025/PO/000003,,,01-01-2025,Unicare Hospitality Services Pvt Ltd-Che,UnicareHospitalityServicesPvtLtd,#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
C/2025/PO/000004,,,01-01-2025,The Westin Chennai Velachery (MFAR Hotels and Resorts Pvt Ltd)-Che,TheWestinChennaiVelachery(MFARHotelsandResortsPvtLtd),#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
A/2025/PO/000001,,,01-01-2025,Ekatra Collective Pvt Ltd-Mum,EkatraCollectivePvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000002,,,01-01-2025,Noaman Digital Partnership Firm-Mum,NoamanDigitalPartnershipFirm,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000003,,,01-01-2025,Turbonet Systems Pvt Ltd-Mum,TurbonetSystemsPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000004,,,01-01-2025,Jaguar Security Services Pvt Ltd-Mum,JaguarSecurityServicesPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
C/2025/PO/000005,,,01-01-2025,Tata Teleservices Ltd-Blr,TataTeleservicesLtd,#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
A/2025/PO/000005,,,01-01-2025,Fairfield By Marriott Mumbai (Associated Hospitality Pvt Ltd)-Mum,FairfieldByMarriottMumbai(AssociatedHospitalityPvtLtd),#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
