External ID,Created by,Order By,Purchase Order Date,Vendor,Type of Expense,Nature of Document,Place of Supply,Subsidiary,Subsidiary Location,Terms,Approval status,Line of business,Division,Department,Currency,Ship to,Item,Rate,Quantity,Amount,Project,HSN or SAC code,India Tax Nature,Nexus,Nexus Override ,Vendor Tax Reg number,Subsidiary tax reg number,Vendor Select
B/2025/PO/000001,1115173 Nagaraju R,,01/10/2024,11070 H P Ramareddy,Indirect Expense,Invoices for inward supply from unregistered person,29-Karnataka,,,10 Days,Approved,,,,Indian Rupee,"Bangalore, Karnataka",Rent Office,245446,1,,,HSN & SAC: 18%,Services,Nexus-Karnataka,TRUE,,,"Bangalore, Karnataka"
B/2025/PO/000002,1115174 Nagaraju R,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000003,1115175 Nagaraju R,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B/2025/PO/000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
