SBCode,Production Id,,Trigger approved,Initial Approved,Billing Budget History,Cost Budget History,Budget Approval Status
SB21528,9918,SB21528 BFSI Techtalks Mumbai,TRUE,TRUE,4417437,4008442.82,Modified Budget Approved
SB21697,9919,SB21697 Castrol India Stall - IMTEX (Tool Tech),TRUE,TRUE,1330560,1259600,Approved
SB21700,9920,SB21700 Amazon SPS,TRUE,TRUE,401218.4,278646,Approved
SB21703,9921,SB21703 BFSI VCF Workshops,TRUE,TRUE,3109238,1723662.63,Approved
SB21704,9922,SB21704 Castrol India TUBE India Expo November,TRUE,TRUE,415514,377740,Approved
SB21733,9923,SB21733 Amazon ring devices event,TRUE,TRUE,162635,111886,Approved
SB21770,9924,SB21770 Mangalam Leasing Channel Partners Meet,TRUE,TRUE,2413600,1855318.54,Approved
SB21797,9925,SB21797  Intel stall at Data Hack Summit 2024 at Nimhans,TRUE,TRUE,489783,209322,Approved
SB21800,9926,SB21800 Towards Tanzu Activities,TRUE,TRUE,1933840,996519,Approved
SB21804,9927,SB21804 Dell CSG event,TRUE,TRUE,11400000,9594290.8,Approved
SB21807,9928,SB21807 Red Hat Summit Connect,TRUE,TRUE,24389088,20299475.04,Approved
SB21814,9929,SB21814 Booth Participation @Gartner Symposium 2024,TRUE,TRUE,409750,96922.5,Approved
SB21829,9930,SB21829 Adobe Day @ Corporates,TRUE,TRUE,2527500,757425,Approved
SB21847,9931,SB21847 Siemens Ahmedabad Townhall event,TRUE,TRUE,67831,19749,Approved
SB21859,9932,SB21859 NVIDIA - AI Summit at  23rd to 25th Oct 2024,TRUE,TRUE,344008695.7,285906313.2,Approved
SB21861,9933,SB21861 HPE Discover More AI,TRUE,TRUE,43169821,30543695.48,Approved
SB21873,9934,"SB21873  INGKA - Mapic Stall 2024 at Jio,",TRUE,TRUE,3297085,2158341.6,Approved
SB21888,9935,SB21888 Hitachi Gartner Symposium 2024.,TRUE,TRUE,5035200,4409926,Approved
SB21911,9936,SB21911 IKEA - Festive Lighting 2024,TRUE,TRUE,4000000,0,Approved
SB21911,9936,SB21911 IKEA - Festive Lighting 2024,TRUE,TRUE,6002832,4416323,Approved
SB21914,9937,SB21914 Amazon Ace Awards,TRUE,TRUE,263375,188035,Approved
SB21917,9938,SB21917 Towards VSP One pipeline acceleration campaign,TRUE,TRUE,3174924.93,2754926,Approved
SB21920,9939,SB21920 Sustainability Campaign,TRUE,TRUE,415000,6500,Approved
SB21930,9940,SB21930 Cognizant - CIO 100 SYMPOSIUM & AWARDS,TRUE,TRUE,180070,105729,Approved
SB21931,9941,SB21931 IKEA - Influencer Activity,TRUE,TRUE,1785916,1339437,Approved
SB21935,9942,SB21935 Siemens Mobility Tactical Table,TRUE,TRUE,2397035.4,1875000,Approved
