Project Code,InternalId,Customer Name,Billing Budget,Costing Budget
SB22161,8914,Hul - Lakme X Myntra," 7,17,800.00 "," 7,17,800.00 "
SB21911,8746,IKEA - Festive Lighting 2024," 40,00,000.00 "," 40,00,000.00 "
SB21528,8728,BFSI Techtalks Mumbai," 44,17,437.00 "," 40,08,442.82 "
SB21697,8729,Castrol India Stall - IMTEX (Tool Tech)," 13,30,560.00 "," 12,59,600.00 "
SB21700,8730,Amazon SPS," 4,01,218.40 "," 2,78,646.00 "
SB21703,8731,BFSI VCF Workshops," 31,09,238.00 "," 17,23,662.63 "
SB21704,8732,Castrol India TUBE India Expo November," 4,15,514.00 "," 3,77,740.00 "
SB21733,8733,Amazon ring devices event," 1,62,635.00 "," 1,11,886.00 "
SB21770,8734,Mangalam Leasing Channel Partners Meet," 24,13,600.00 "," 18,55,318.54 "
SB21797,8735, Intel stall at Data Hack Summit 2024 at Nimhans," 4,89,783.00 "," 2,09,322.00 "
SB21800,8736,Towards Tanzu Activities," 19,33,840.00 "," 9,96,519.00 "
SB21804,8737,Dell CSG event," 1,14,00,000.00 "," 95,94,290.80 "
SB21807,8738,Red Hat Summit Connect," 2,43,89,088.00 "," 2,02,99,475.04 "
SB21814,8739,Booth Participation @Gartner Symposium 2024," 4,09,750.00 "," 96,922.50 "
SB21829,8740,Adobe Day @ Corporates," 25,27,500.00 "," 7,57,425.00 "
SB21847,8741,Siemens Ahmedabad Townhall event ," 67,831.00 "," 19,749.00 "
SB21859,8742,NVIDIA - AI Summit at  23rd to 25th Oct 2024," 34,40,08,695.65 "," 28,59,06,313.16 "
SB21861,8743,HPE Discover More AI," 4,31,69,821.00 "," 3,05,43,695.48 "
SB21873,8744," INGKA - Mapic Stall 2024 at Jio,"," 32,97,085.00 "," 21,58,341.60 "
SB21888,8745,Hitachi Gartner Symposium 2024.," 50,35,200.00 "," 44,09,926.00 "
SB21911,8746,IKEA - Festive Lighting 2024," 60,02,832.00 "," 44,16,323.00 "
SB21914,8747,Amazon Ace Awards," 2,63,375.00 "," 1,88,035.00 "
SB21917,8748,Towards VSP One pipeline acceleration campaign," 31,74,924.93 "," 27,54,926.00 "
SB21920,8749,Sustainability Campaign," 4,15,000.00 "," 6,500.00 "
SB21930,8750,Cognizant - CIO 100 SYMPOSIUM & AWARDS," 1,80,070.00 "," 1,05,729.00 "
SB21935,8752,Siemens Mobility Tactical Table," 23,97,035.40 "," 18,75,000.00 "
SB21939,8753,Towards Booth set up at DevOpsDays Kerela 2024.," 1,23,389.25 "," 1,12,172.72 "
SB21940,8754,HPE Booth at NVIDIA AI Summit at JIO convention Centre Mumbai," 57,18,840.00 "," 46,62,115.37 "
SB21944,8755,Amazon SPS," 17,12,265.28 "," 13,92,963.00 "
SB21945,8756,Lenovo R&D Lab Innaugration," 22,46,564.16 "," 15,74,569.50 "
SB21947,8757,NetApp Targus Roundtable Conference ," 5,66,389.00 "," 4,13,119.00 "
SB21954,8758,"Github Reconnect Series, Sep to Nov 2024"," 12,41,937.00 "," 7,06,351.40 "
SB21960,8759,Futureworks India 2024," 78,90,000.00 "," 49,26,692.35 "
SB21961,8760,Towards Webinar Promotion Services," 3,35,680.00 "," 1,12,786.00 "
SB21975,8761,Siemens R2R Townhall ," 4,80,306.00 "," 3,06,000.00 "
SB21981,8762,"Adobe ALM booth set-up, hotel Taj "," 8,50,000.00 "," 1,37,474.00 "
SB21982,8763,"Kia Inspiration Day, "," 2,53,13,041.00 "," 1,73,35,927.00 "
SB21983,9342,TVS Srichakra Eurogrip No Parking board," 27,520.00 "," 24,150.00 "
SB21984,8764,NatWest Signature Borad Campaign," 32,750.00 "," 25,000.00 "
SB21985,8765,Havas Apparelre Sources - ASW 2024," 1,50,000.00 "," 1,34,018.00 "
SB21986,8766,Cognizant TD Bank Client Visit," 2,69,236.00 "," 2,20,580.00 "
SB21987,9343,TVS Srichakra RRC/MMC/CPC Activity," 31,390.00 "," 27,717.00 "
SB21988,8767,Cognzinat Cr3own client Visit ," 8,19,005.00 "," 6,39,222.00 "
SB21989,8768,BP Townhall," 6,28,998.66 "," 2,96,318.33 "
SB21990,8769,Intel Altera Innovation Day," 49,63,500.00 "," 45,92,717.42 "
SB21991,8770,Intel  ConnectiON 2024 - Phase 1 ," 99,30,859.96 "," 47,48,000.00 "
SB21993,8771,"Brookfield Properties Gallery Set-up,"," 5,20,190.00 "," 2,38,574.00 "
SB21995,8772,Ikea - Durga Utsav Event," 30,34,350.00 "," 17,77,483.89 "
SB21996,8773,Tech Data VEGAS Fest 2024," 4,02,500.00 "," 2,51,945.00 "
SB21997,8774,Redington CIO KLUB 2024," 3,00,840.00 "," 2,13,700.00 "
SB21998,8775,Novo Development All Leaders Meet 2024," 19,95,730.62 "," 11,90,729.00 "
SB21999,8776,Nikon booth set-up," 36,66,447.00 "," 29,43,714.50 "
SB22000,8777,stall in Didac India Expo," 53,120.00 "," 34,484.75 "
SB22001,8778, Intel Altera IMC Meeting ," 8,25,000.00 "," 3,48,030.48 "
SB22002,8779, IKEA  - Influencer Meet," 22,45,584.00 "," 16,48,897.50 "
SB22003,8780,Siemens - EHS Stall at CII," 3,04,464.00 "," 2,48,537.00 "
SB22004,8781,NetApp Ahmedabad," 1,81,887.50 "," 88,730.00 "
