ProjectID,InternalId,Project Name,Billing Budget,Costing Budget
SB21386,10532,Accenture  FE Utsava - Carnival Artists,400000.00 ,0
SB21718,10579,Google YouTube Creator Collective Q3 2024,49063401.00 ,17667663
SB21768,10533,HUL Finomenals 2024,2550462.00 ,1045400
SB21825,10580,Audi 100 K Milestone Celebration Event,29512410.00 ,18212320
SB21931,8751,IKEA - Influencer Activity ,1785916.00 ,1339437
SB21992,10534,Meeting Expenses,1000000.00 ,0
SB22011,8786,Siemens Healthineers_Pen branding,31325.00 ,23493.75
SB22071,8838,Accenture Sanjay Dawar's Farewell,372075.00 ,279056.25
SB22116,8877,Red Hat-TCS lending as a service event,822437.00 ,616827.75
SB22598,10581,KNMA WithIn by Aditi Mangaldas,1150000.00 ,862500
SB22610,10535,Amazon Whiteboard Animation video project,71500.00 ,53625
SB22611,10536,Bumblebee Fun Activities,381205.00 ,285903.75
SB22612,10582,Greenlam GT Launch,2099625.00 ,1574718.75
SB22613,10583,VinFast Digital Promotions,6873000.00 ,5154750
SB22614,10537,Tally Mahasabha 2025,5079584.00 ,3809688
SB22615,10584,Kia Clavis Hybrid ,23940532.00 ,17955399
SB22616,10538, HDFC Bank Tech Workshop HYD,617954.00 ,463465.5
SB22617,10539,Cognizant NW visit ,205700.00 ,154275
SB22618,10585,Hyundai Global Service Seminar 2025,3522570.00 ,2641927.5
SB22619,10540,Siemens - HR Offiste 2025,839248.00 ,629436
SB22620,10541,Palo Cybersecurity Leadership Summitt ,15498045.00 ,11623533.75
SB22621,10542,Towards T-shirts with branding - Partner Kick Off,198375.00 ,148781.25
SB22622,10586,Townhall at Microsoft,437265.00 ,327948.75
SB22623,10587,HPE Zerto Enablement ,1719960.00 ,1289970
SB22624,10543,Phone Pe - Converge,703084.00 ,527313
SB22625,10544,GBS Finance Offsite ,30800.00 ,23100
SB22626,10588,Adobe Elite Circle,1800000.00 ,1350000
SB22627,10545,Natwest Nasscom GCC Summit 2025,361880.00 ,271410
SB22628,10546,Red ABM Account Day,822404.00 ,616803
SB22629,10547,STT Advantage Employee offsite,11232890.00 ,8424667.5
SB22630,10589,Adobe Partner Summit hotel ,1500000.00 ,1125000
SB22631,10548,Red Hat BFSI Summit ,4847633.00 ,3635724.75
SB22632,10549,"Accenture stall @ NASSCOM GCC Summit,",553080.00 ,414810
SB22633,10550,Cognizant - Client Visit,25300.00 ,18975
SB22634,10551,Red Hat Immersion Day - Mumbai | Q2,870929.00 ,653196.75
SB22635,10552,Amazon BOX Installation,163200.00 ,122400
SB22636,10553,Walmart Townhall,535700.00 ,401775
SB22637,10554,Natwest Ruchika Town Hall Meet,349765.00 ,262323.75
SB22638,10555,Red Hat F & B,46575.00 ,34931.25
SB22639,10556,BROOKFIELD DC VS RCB IPL,440000.00 ,330000
SB22640,10590,YTCC X-Waves,12600000.00 ,9450000
SB22641,10557,Siemens GBS SSON Visit,115000.00 ,86250
SB22642,10558,Amazon Townhall event,80014.00 ,60010.5
SB22643,10559,AI@Walmart,1784284.00 ,1338213
SB22644,10560,Intel - Webinr Series for Audience Acquasition,861000.00 ,645750
SB22645,10561,"Hul Shiva's Farewell Event,",1783762.00 ,1337821.5
SB22646,10591,Hero Farwell event,1146015.00 ,859511.25
SB22647,10562,Indo IFCCI Seminar. ,97440.00 ,73080
SB22648,10563,Mahindra Press & Analyst Meet,792000.00 ,594000
SB22649,10564,Cognizant Zumba activity,100100.00 ,75075
SB22650,10565,Kotak Townhall with CEO,1478362.00 ,1108771.5
SB22651,10566,Amazon IN Finance Career Day 2025,437059.00 ,327794.25
SB22652,10567,Amazon collateral design and print,10010.00 ,7507.5
SB22653,10568,SS Plate _SEIL Name Plates,376776.00 ,282582
SB22654,10569,Amazon Transcend Graduation,209293.00 ,156969.75
SB22655,10570,Red ACE Program - Aditya Birla Group,823500.00 ,617625
SB22656,10592,OnePlus Masterclass,725537.00 ,544152.75
SB22657,10593,Google YT Shopping Lifestyle edition ,8200000.00 ,6150000
SB22658,10571,Red Hat Immersion Day,453325.00 ,339993.75
SB22659,10572,Amazon Day One at Work,178178.00 ,133633.5
SB22660,10573,HUL iSight App Showcase,141052.00 ,105789
SB22661,10574,Takasago Food solution centre Inauguration,526900.00 ,395175
SB22662,10594,Tata Fleet Management at Waves,4041600.00 ,3031200
SB22663,10575,Siemens Canteen Inauguration Event,270874.93 ,203156.1975
SB22664,10595,Amway BBS Multicity events ,4000000.00 ,3000000
SB22665,10576,CIO KERALA CHAPTER,511803.00 ,383852.25
SB22666,10596,HPE Aruba CXO Meet,1947000.00 ,1460250
SB22667,10577,40th Year Anniversary,148005.00 ,111003.75
SB22668,10578,Brookprop WATERSTONES,1690063.00 ,1267547.25
